organization_id,organization_name,organization_aliases,organization_type,governing_body,council_or_district,town,state,country_code,activity_scope,audience_scope,source_id,source_url,source_type,platform,authoritative_level,verification_status,current_2026_27_status,notes
org-us-vt-onion-river-nordic-club,Onion River Nordic Club,,club,NENSA,Vermont,Montpelier,VT,US,Sports > Winter Sports > Nordic Skiing; BKL/Youth,youth,src-onion-river-nordic-club-organization-site,https://nensa.net/nensa-club-directory/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-prospect-mountain-ski-club,Prospect Mountain Ski Club,,club,NENSA,Vermont,Woodford,VT,US,Sports > Winter Sports > Nordic Skiing; BKL/Youth;Junior;Masters,youth;junior;adult,src-prospect-mountain-ski-club-organization-site,https://nensa.net/nensa-club-directory/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-the-putney-school,The Putney School,,club,NENSA,Vermont,Putney,VT,US,Sports > Winter Sports > Nordic Skiing; School Nordic,youth;junior,src-the-putney-school-organization-site,https://nensa.net/nensa-club-directory/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-putney-ski-club,Putney Ski Club,,club,NENSA,Vermont,Putney,VT,US,Sports > Winter Sports > Nordic Skiing; BKL/Youth,youth,src-putney-ski-club-organization-site,https://putneyskiclub.org/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-saint-michael-s-college,Saint Michael's College,,club,NENSA,Vermont,Colchester,VT,US,Sports > Winter Sports > Nordic Skiing; College/EISA,college,src-saint-michael-s-college-organization-site,https://nensa.net/nensa-club-directory/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-sleepy-hollow-nordic-ski-club,Sleepy Hollow Nordic Ski Club,,club,NENSA,Vermont,Huntington,VT,US,Sports > Winter Sports > Nordic Skiing; BKL/Youth,youth,src-sleepy-hollow-nordic-ski-club-organization-site,https://skisleepyhollow.com/bill-koch-ski-program/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-st-albans-nordic,St Albans Nordic,,club,NENSA,Vermont,St. Albans,VT,US,Sports > Winter Sports > Nordic Skiing; BKL/Youth,youth,src-st-albans-nordic-organization-site,https://stalbansnordic.org/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-stowe-nordic,Stowe Nordic,,club,NENSA,Vermont,Stowe,VT,US,Sports > Winter Sports > Nordic Skiing; BKL/Youth;Masters,youth;adult,src-stowe-nordic-organization-site,https://stowenordic.org/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-stratton-mountain-school,Stratton Mountain School,,club,NENSA,Vermont,Stratton,VT,US,Sports > Winter Sports > Nordic Skiing; Nordic;Alpine;Private School,youth;junior,src-stratton-mountain-school-organization-site,https://nensa.net/nensa-club-directory/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-university-of-vermont-ski-team,University of Vermont Ski Team,,club,NENSA,Vermont,Burlington,VT,US,Sports > Winter Sports > Nordic Skiing; College/EISA,college,src-university-of-vermont-ski-team-organization-site,https://nensa.net/nensa-club-directory/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-west-river-nordic-ski-club,West River Nordic Ski Club,West River Sports,club,NENSA,Vermont,Londonderry / Peru,VT,US,Sports > Winter Sports > Nordic Skiing; BKL/Youth,youth,src-west-river-nordic-ski-club-organization-site,https://www.westriversports.org/nordic-skiing,organization_site,Custom Website,primary,web_verified_2026-09-04,active_2026_27_details_published,
org-us-vt-woodstock-ski-runners,Woodstock Ski Runners,,club,NENSA,Vermont,Woodstock,VT,US,Sports > Winter Sports > Nordic Skiing; Nordic;Alpine,youth,src-woodstock-ski-runners-organization-site,https://www.skirunners.org/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_2026_27_details_published,
org-us-vt-burke-mountain-academy,Burke Mountain Academy,,club,VARA,Northern VT Council,East Burke,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-burke-mountain-academy-organization-site,https://www.burkemtnacademy.org/ski-racing/junior-program,organization_site,Custom Website,primary,web_verified_2026-09-04,active_2026_27_details_published,
org-us-vt-cochran-s-ski-club,Cochran's Ski Club,,club,VARA,Northern VT Council,Richmond,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-cochran-s-ski-club-organization-site,https://www.vara.org/club/cochrans-ski-clubs/21/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-green-mountain-valley-school,Green Mountain Valley School,,club,VARA,Northern VT Council,Waitsfield,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-green-mountain-valley-school-organization-site,https://www.gmvs.org/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-jay-peak-ski-club,Jay Peak Ski Club,,club,VARA,Northern VT Council,Jay,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-jay-peak-ski-club-organization-site,https://www.vara.org/club/jay-peak-ski-clubs/41/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-mad-river-glen-junior-race-program-mad-river-ski-club,Mad River Glen Junior Race Program - Mad River Ski Club,,club,VARA,Northern VT Council,Waitsfield,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-mad-river-glen-junior-race-program-mad-river-ski-club-organization-site,https://www.madriverglen.com/racing-junior/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_2026_27_details_published,
org-us-vt-mt-mansfield-academy,Mt Mansfield Academy,,club,VARA,Northern VT Council,Stowe,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-mt-mansfield-academy-organization-site,https://www.vara.org/club/mount-mansfield-ski-and-snowboard-clubs/54/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-smugglers-notch-ski-snowboard-club,Smugglers' Notch Ski & Snowboard Club,,club,VARA,Northern VT Council,Jeffersonville,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-smugglers-notch-ski-snowboard-club-organization-site,https://snscvt.com/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_2026_27_details_published,
org-us-vt-killington-mountain-school,Killington Mountain School,,club,VARA,Mid VT Council,Killington,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-killington-mountain-school-organization-site,https://www.killingtonmountainschool.org/programs,organization_site,Custom Website,primary,web_verified_2026-09-04,active_2026_27_details_published,
org-us-vt-killington-ski-club,Killington Ski Club,,club,VARA,Mid VT Council,Killington,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-killington-ski-club-organization-site,https://www.vara.org/mid-vt-council.php,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-middlebury-ski-club,Middlebury Ski Club,,club,VARA,Mid VT Council,Middlebury,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-middlebury-ski-club-organization-site,https://www.vara.org/club/middlebury-ski-clubs/52/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-okemo-competitions-center,Okemo Competitions Center,,club,VARA,Mid VT Council,Ludlow,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-okemo-competitions-center-organization-site,https://www.vara.org/mid-vt-council.php,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-okemo-mountain-school,Okemo Mountain School,,club,VARA,Mid VT Council,Ludlow,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-okemo-mountain-school-organization-site,https://www.okemomountainschool.org/enrollment-options,organization_site,Custom Website,primary,web_verified_2026-09-04,active_2026_27_details_published,
org-us-vt-pico-ski-club,Pico Ski Club,,club,VARA,Mid VT Council,Killington,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-pico-ski-club-organization-site,https://www.picoskiclub.com/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-quechee-ski-club,Quechee Ski Club,,club,VARA,Mid VT Council,Quechee,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-quechee-ski-club-organization-site,https://www.vara.org/club/quechee-ski-clubs/68/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-woodstock-ski-runners,Woodstock Ski Runners,,club,VARA,Mid VT Council,Woodstock,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-woodstock-ski-runners-organization-site,https://www.skirunners.org/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_2026_27_details_published,
org-us-vt-bromley-outing-club,Bromley Outing Club,,club,VARA,Southern VT Council,Peru / Manchester,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-bromley-outing-club-organization-site,https://bromleyoutingclub.com/boc/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_2026_27_details_published,
org-us-vt-magic-mountain-alpine-club,Magic Mountain Alpine Club,,club,VARA,Southern VT Council,Londonderry,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-magic-mountain-alpine-club-organization-site,https://www.vara.org/southern-vt-council.php,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-mount-snow-training-center,Mount Snow Training Center,,club,VARA,Southern VT Council,West Dover,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-mount-snow-training-center-organization-site,https://www.vara.org/club/mount-snow-training-center/57/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-stratton-mountain-school,Stratton Mountain School,,club,VARA,Southern VT Council,Stratton,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-stratton-mountain-school-organization-site,https://www.vara.org/southern-vt-council.php,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-stratton-winter-sports-club,Stratton Winter Sports Club,,club,VARA,Southern VT Council,Stratton,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-stratton-winter-sports-club-organization-site,https://www.vara.org/club/stratton-winter-sports-clubs/81/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-vermont-academy-at-mount-snow,Vermont Academy at Mount Snow,,club,VARA,Southern VT Council,West Dover,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-vermont-academy-at-mount-snow-organization-site,https://www.vara.org/southern-vt-council.php,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
org-us-vt-willard-racing-team,Willard Racing Team,,club,VARA,Southern VT Council,Southern Vermont,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior,src-willard-racing-team-organization-site,https://www.vara.org/southern-vt-council.php,organization_site,Custom Website,primary,web_verified_2026-09-04,active_vara_member_current_details_partial_or_pending,
