source_id,organization,organization_type,town,state,coverage,source_url,platform,source_type,ingestion_priority,crawler_adapter,data_structure,sports_scope,crawl_frequency,human_review_required,notes
VT-MUNI-SHELBURNE-WEBTRAC,Shelburne Parks & Recreation,municipal_recreation,Shelburne,VT,Municipal youth sports and recreation,https://www.shelburnevt.org/415/Register-On-Line,WebTrac,registration_portal,P1,webtrac,structured_js,multi-sport,daily_in_registration_window; weekly_offseason,true,Also monitor public PDF registration forms.
VT-MUNI-STOWE-GENERIC,Stowe Parks & Recreation,municipal_recreation,Stowe,VT,Municipal youth recreation and sports,https://www.stowevt.gov/Departments/Parks-Recreation,Municipal Website,organization_portal,P1,generic_html,semi_structured,multi-sport,weekly; daily when changed,true,
VT-MUNI-MILTON-MIXED,Milton Recreation,municipal_recreation,Milton,VT,Municipal youth sports and recreation,https://www.miltonvt.gov/145/Sign-Up-For,Municipal Website + PDF,registration_landing_page,P1,generic_html_pdf,mixed,multi-sport,weekly; daily when seasonal guide changes,true,Seasonal program guides are high-value unstructured sources.
VT-MUNI-BARRE-MIXED,Barre City Recreation,municipal_recreation,Barre,VT,Municipal youth recreation and sports,https://www.barrecity.org/recreation/,Municipal Website / MyRec links,organization_portal,P1,generic_html_myrec,mixed,multi-sport,weekly; daily in registration window,true,Important Central Vermont source.
VT-MUNI-BRATTLEBORO-GENERIC,Brattleboro Recreation & Parks,municipal_recreation,Brattleboro,VT,Municipal youth recreation and sports,https://brattleboro.gov/departments/recreation/,Municipal Website,organization_portal,P1,generic_html,semi_structured,multi-sport,weekly; daily when changed,true,
VT-MUNI-SPRINGFIELD-SPORTSENGINE,Springfield Parks & Recreation,municipal_recreation,Springfield,VT,Municipal youth recreation and sports,https://www.springfieldvtparksandrec.com/,SportsEngine,organization_portal,P1,sportsengine,semi_structured,multi-sport,daily_in_registration_window; weekly_offseason,true,
VT-MUNI-LYNDON-GENERIC,Lyndon Recreation,municipal_recreation,Lyndon,VT,Municipal youth sports registration,https://www.lyndonrecreation.org/Default.aspx?tabid=1179731,League/Registration Website,registration_page,P1,generic_html,semi_structured,multi-sport,weekly; daily in registration window,true,
VT-MUNI-MANCHESTER-GENERIC,Manchester Parks & Recreation,municipal_recreation,Manchester,VT,Municipal youth recreation and seasonal programs,https://manchester-vt.gov/summer-programs,Municipal Website,seasonal_program_page,P1,generic_html,semi_structured,multi-sport,weekly; daily when changed,true,
VT-STATE-SOCCER,Vermont Soccer Association,state_governing_body,,VT,Statewide soccer leagues and affiliated organizations,https://www.vermontsoccer.org/leagues/,Association Website,member_directory,P0,generic_html_directory,semi_structured,soccer,monthly; weekly preseason,true,"Use as discovery source for local soccer clubs, then crawl local registration sources."
VT-STATE-HOCKEY,Vermont State Amateur Hockey Association,state_governing_body,,VT,Statewide youth hockey and local member associations,https://www.vermonthockey.org/,SportsEngine,organization_portal,P0,sportsengine,semi_structured,hockey,weekly; daily during registration periods,true,Member association directory is especially valuable for recursive source discovery.
VT-STATE-HOCKEY-MEMBERS,VSAHA Member Associations,state_member_directory,,VT,Local youth hockey associations statewide,https://www.vermonthockey.org/members,SportsEngine,member_directory,P0,sportsengine_directory,structured_links,hockey,monthly; weekly preseason,false,"Seed child sources for Burlington, Central Vermont, Essex, Lyndon, Middlebury, Milton, Missisquoi, Northshire, Rutland, St. Albans, Stowe, Woodstock, Upper Valley and others."
VT-STATE-USTA,USTA Vermont,state_governing_body,,VT,Statewide tennis,https://www.usta.com/en/home/about-usta/who-we-are/newengland/vermont.html,USTA,state_portal,P1,usta,structured_search,tennis,weekly,true,
VT-STATE-USTA-JUNIOR,USTA Junior Tennis Vermont,state_governing_body,,VT,Youth tennis opportunities statewide,https://www.usta.com/en/home/play/youth-tennis/programs/newengland/vermont/junior-tennis-in-vermont.html,USTA,youth_program_page,P1,usta,semi_structured,tennis,weekly,true,
VT-LEAGUE-CENTRALVT-LITTLELEAGUE,Central Vermont Little League,youth_league,Central Vermont,VT,Youth baseball and softball,https://www.cvtll.org/,League Website,organization_portal,P0,generic_html,semi_structured,baseball;softball,daily_in_registration_window; weekly_offseason,true,High-value source for Central Vermont MVP.
VT-LEAGUE-BARRE-YOUTH-SPORTS,Barre Youth Sports Association,youth_sports_organization,Barre,VT,Youth sports,https://www.barreyouthsports.com/,SportsEngine,organization_portal,P0,sportsengine,semi_structured,multi-sport,daily_in_registration_window; weekly_offseason,true,High-value Central Vermont source.
VT-LEAGUE-WATERBURY-SOCCER,Waterbury Youth Soccer,youth_sports_organization,Waterbury,VT,Youth soccer,https://waterburysoccer.com/,Independent Website,organization_portal,P0,generic_html,semi_structured,soccer,daily_in_registration_window; weekly_offseason,true,
VT-LEAGUE-BRADFORD-YOUTH-SPORTS,Bradford Youth Sports,youth_sports_organization,Bradford,VT,Youth sports including soccer,https://bradfordyouthsportsvt.sportngin.com/,SportsEngine,organization_portal,P1,sportsengine,semi_structured,multi-sport,daily_in_registration_window; weekly_offseason,true,
VT-PRIVATE-GAMEON,Game On Vermont,private_youth_program_provider,Burlington Region,VT,Youth multi-sport programs,https://gameonvt.com/programs.php?gameon=0,Custom Website,program_catalog,P1,generic_html,structured_html,multi-sport,weekly; daily when changed,true,
VT-LEAGUE-VERNON-LACROSSE,Vernon Lacrosse Association,youth_sports_organization,Vernon,VT,Youth lacrosse,https://www.vernonlacrosse.org/page/show/8224001-registration,SportsEngine,registration_page,P1,sportsengine,semi_structured,lacrosse,daily_in_registration_window; weekly_offseason,true,
VT-LEAGUE-BURLINGTON-HOCKEY,Burlington Amateur Hockey Association,youth_sports_organization,Burlington,VT,Youth hockey — Burlington/Colchester/Winooski,https://www.bahabobcats.com/,SportsEngine,organization_portal,P0,sportsengine,semi_structured,hockey,daily_in_registration_window; weekly_offseason,true,Serves Burlington Colchester and Winooski per VSAHA designation.
VT-LEAGUE-CSB-HOCKEY,CSB Youth Hockey,youth_sports_organization,South Burlington,VT,Youth hockey — South Burlington region,https://www.csbhockey.com/registration,SportsEngine,registration_page,P0,sportsengine,semi_structured,hockey,daily_in_registration_window; weekly_offseason,true,Chittenden-South Burlington Youth Hockey Association; home rink C. Douglas Cairns Arena.
VT-LEAGUE-WOODSTOCK-HOCKEY,Woodstock Youth Hockey & Skating Association,youth_sports_organization,Woodstock,VT,Hockey / skating — Woodstock,https://www.woodstockyouthhockey.org/,SportsEngine,registration_page,P0,sportsengine,semi_structured,hockey;ice_skating,daily_in_registration_window; weekly_offseason,true,Registration is completed through the association's SportsEngine-hosted form.
VT-LEAGUE-NORTHSHIRE-HOCKEY,Northshire Hockey,youth_sports_organization,Manchester,VT,Hockey — Manchester/Northshire,https://northshirehockey.sportngin.com/,SportsEngine,organization_portal,P0,sportsengine,semi_structured,hockey,daily_in_registration_window; weekly_offseason,true,Home ice Riley Rink. NOTE - resolves to a sportngin.com (SportsEngine) domain rather than the Custom/registration-site platform originally specified in the source request; confirm before go-live.
VT-MUNI-HINESBURG-MYREC,Hinesburg Recreation,municipal_recreation,Hinesburg,VT,"Track & field, volleyball and other municipal programs",https://hinesburgvt.myrec.com/info/default.aspx,MyRec,organization_portal,P1,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,
VT-PRIVATE-GMAS,Green Mountain Adaptive Sports,private_youth_program_provider,Statewide,VT,"Alpine skiing/snowboarding, swimming and adaptive recreation",https://greenmtnadaptive.org/,Custom Website,program_catalog,P1,generic_html,semi_structured,alpine_skiing;snowboarding;swimming;adaptive_recreation,weekly; daily when changed,true,"Nonprofit adaptive-sports provider; programs run at multiple venues (Stowe, Burlington, White River Junction, Berlin, Essex Junction)."
VT-MUNI-BARRE-MYREC,Barre City Recreation,municipal_recreation,Barre,VT,"Field hockey, tennis and other municipal programming",https://barrevt.myrec.com/,MyRec,program_catalog,P1,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,Use alongside VT-MUNI-BARRE-MIXED (municipal landing page) rather than relying on that page alone.
